timestamp,task,query,latency_seconds
2026-08-12T12:52:57,risk_assessment,is SHP-2201 at risk?,31.72
2026-08-12T13:15:56,risk_assessment,SHP-2201 at risk?,67.26
2026-08-26T08:48:03,sourcing_decision,should we switch to our backup supplier?,6.73
2026-08-26T08:52:09,sourcing_decision,should we switch to our backup supplier?,14.24
2026-08-26T08:53:43,sourcing_decision,should we switch to our backup supplier?,11.71
2026-08-26T13:47:12,stock_position,do we have enough stock?,20.06
2026-08-26T13:48:09,risk_assessment,has Minas Gerais Cooperative sent us any warning emails?,20.43
2026-08-26T14:18:21,risk_assessment,what should i be worried about this week?,42.54
2026-08-26T14:54:30,sourcing_decision,should we switch to our backup supplier?,20.64
2026-08-26T15:20:48,stock_position,is there a supplier delay affecting our current stock position?,18.88
2026-08-26T15:31:32,risk_assessment,is SHP-2201 at risk?,23.89
2026-08-26T15:44:44,stock_position,do we have enough stock?,24.6
2026-09-01T15:58:59,stock_position,do we have enough stock?,22.15
2026-09-01T16:18:09,stock_position,do we have enough stock?,18.77
2026-09-01T16:18:46,sourcing_decision,should we switch to our backup supplier?,20.25
2026-09-01T16:27:12,stock_position,do we have enough stock?,20.99
2026-09-01T16:27:44,stock_position,do we have enough stock?,19.96
2026-09-01T18:01:28,stock_position,do we have enough stock?,21.04
2026-09-01T18:09:19,stock_position,do we have enough stock?,23.72
2026-09-01T18:28:25,stock_position,do we have enough stock?,21.37
2026-09-02T12:52:40,stock_position,do we have enough stock?,6.36
2026-09-02T12:56:50,stock_position,do we have enough stock?,15.78
2026-09-02T12:57:30,stock_position,when do we need to reorder?,24.43
2026-09-02T12:58:31,risk_assessment,is there a supplier delay affecting our current stock position?,44.37
2026-09-02T12:59:33,risk_assessment,is SHP-2201 at risk?,43.61
2026-09-02T13:00:58,risk_assessment,what should I be worried about this week?,69.15
2026-09-02T13:01:54,risk_assessment,is Minas Gerais currently flagged for deforestation risk?,37.23
2026-09-02T13:03:39,risk_assessment,is SHP-2201 at risk?,32.92
2026-09-02T13:04:46,risk_assessment,what should I be worried about this week?,53.4
2026-09-02T13:08:41,risk_assessment,is Minas Gerais currently flagged for deforestation risk?,26.0
2026-09-02T13:09:25,sourcing_decision,should we switch to our backup supplier?,32.3
2026-09-02T13:10:05,sourcing_decision,how reliant are we on one supplier region?,28.33
2026-09-02T13:11:42,sourcing_decision,would switching to our backup supplier break our current contract?,36.4
2026-09-02T14:36:32,stock_position,do we have enough stock?,20.47
2026-09-02T14:38:55,stock_position,when do we need to reorder?,19.78
2026-09-02T14:40:32,risk_assessment,is SSH-2201 at rsisk?,25.57
2026-09-02T14:44:56,stock_position,how many days of coverage do we have left?,22.28
2026-09-07T13:02:44,stock_position,"""Are we short or do we have a surplus?""",19.66
2026-09-07T13:09:46,stock_position,how many days of coverage do we have left?,19.31
2026-09-07T13:10:42,stock_position,are we short or do we have a surplus?,15.67
2026-09-07T13:15:33,stock_position,how many days of coverage do we have left?,13.08
2026-09-07T13:16:11,stock_position,are we short or do we have a surplus?,14.45
2026-09-07T13:16:55,stock_position,do we have enough stock?,15.33
2026-09-07T14:46:39,stock_position,do we have enough stock?,21.8
2026-09-07T14:47:47,risk_assessment,is Eppendorf Roastery at risk?,27.41
2026-09-07T14:48:40,stock_position,how much stock do we have in the warehouse?,11.27
2026-09-07T14:54:08,stock_position,how much stock is in transit?,16.51
2026-09-07T14:54:33,stock_position,how many bags have our cafes committed to?,9.11
