cafe_account_id,month,bags_ordered
CAFE-001,2026-04,67
CAFE-001,2026-05,61
CAFE-001,2026-06,66
CAFE-001,2026-07,67
CAFE-001,2026-08,57
CAFE-002,2026-04,62
CAFE-002,2026-05,64
CAFE-002,2026-06,68
CAFE-002,2026-07,77
CAFE-002,2026-08,78
CAFE-003,2026-04,54
CAFE-003,2026-05,63
CAFE-003,2026-06,61
CAFE-003,2026-07,58
CAFE-003,2026-08,56
CAFE-004,2026-04,50
CAFE-004,2026-05,60
CAFE-004,2026-06,50
CAFE-004,2026-07,53
CAFE-004,2026-08,56
CAFE-005,2026-04,89
CAFE-005,2026-05,106
CAFE-005,2026-06,106
CAFE-005,2026-07,86
CAFE-005,2026-08,93
CAFE-006,2026-04,76
CAFE-006,2026-05,76
CAFE-006,2026-06,70
CAFE-006,2026-07,84
CAFE-006,2026-08,81
CAFE-007,2026-04,29
CAFE-007,2026-05,31
CAFE-007,2026-06,37
CAFE-007,2026-07,30
CAFE-007,2026-08,29
CAFE-008,2026-04,67
CAFE-008,2026-05,77
CAFE-008,2026-06,62
CAFE-008,2026-07,70
CAFE-008,2026-08,72
CAFE-009,2026-04,31
CAFE-009,2026-05,36
CAFE-009,2026-06,33
CAFE-009,2026-07,35
CAFE-009,2026-08,35
CAFE-010,2026-04,92
CAFE-010,2026-05,80
CAFE-010,2026-06,100
CAFE-010,2026-07,86
CAFE-010,2026-08,82
CAFE-011,2026-04,84
CAFE-011,2026-05,100
CAFE-011,2026-06,102
CAFE-011,2026-07,83
CAFE-011,2026-08,97
CAFE-012,2026-04,74
CAFE-012,2026-05,85
CAFE-012,2026-06,73
CAFE-012,2026-07,86
CAFE-012,2026-08,78
CAFE-013,2026-04,67
CAFE-013,2026-05,53
CAFE-013,2026-06,56
CAFE-013,2026-07,52
CAFE-013,2026-08,67
CAFE-014,2026-04,110
CAFE-014,2026-05,92
CAFE-014,2026-06,104
CAFE-014,2026-07,108
CAFE-014,2026-08,101
CAFE-015,2026-04,73
CAFE-015,2026-05,66
CAFE-015,2026-06,63
CAFE-015,2026-07,81
CAFE-015,2026-08,81
CAFE-016,2026-04,45
CAFE-016,2026-05,41
CAFE-016,2026-06,41
CAFE-016,2026-07,46
CAFE-016,2026-08,48
CAFE-017,2026-04,50
CAFE-017,2026-05,49
CAFE-017,2026-06,47
CAFE-017,2026-07,39
CAFE-017,2026-08,40
CAFE-018,2026-04,88
CAFE-018,2026-05,82
CAFE-018,2026-06,67
CAFE-018,2026-07,70
CAFE-018,2026-08,83
CAFE-019,2026-04,51
CAFE-019,2026-05,54
CAFE-019,2026-06,61
CAFE-019,2026-07,63
CAFE-019,2026-08,63
CAFE-020,2026-04,44
CAFE-020,2026-05,51
CAFE-020,2026-06,44
CAFE-020,2026-07,45
CAFE-020,2026-08,52
CAFE-021,2026-04,36
CAFE-021,2026-05,38
CAFE-021,2026-06,36
CAFE-021,2026-07,35
CAFE-021,2026-08,30
CAFE-022,2026-04,61
CAFE-022,2026-05,59
CAFE-022,2026-06,59
CAFE-022,2026-07,73
CAFE-022,2026-08,62
CAFE-023,2026-04,94
CAFE-023,2026-05,87
CAFE-023,2026-06,91
CAFE-023,2026-07,84
CAFE-023,2026-08,86
CAFE-024,2026-04,90
CAFE-024,2026-05,82
CAFE-024,2026-06,96
CAFE-024,2026-07,84
CAFE-024,2026-08,77
CAFE-025,2026-04,29
CAFE-025,2026-05,25
CAFE-025,2026-06,32
CAFE-025,2026-07,32
CAFE-025,2026-08,31
CAFE-026,2026-04,19
CAFE-026,2026-05,17
CAFE-026,2026-06,23
CAFE-026,2026-07,20
CAFE-026,2026-08,23
CAFE-027,2026-04,31
CAFE-027,2026-05,30
CAFE-027,2026-06,25
CAFE-027,2026-07,26
CAFE-027,2026-08,30
CAFE-028,2026-04,77
CAFE-028,2026-05,74
CAFE-028,2026-06,83
CAFE-028,2026-07,93
CAFE-028,2026-08,87
CAFE-029,2026-04,31
CAFE-029,2026-05,26
CAFE-029,2026-06,31
CAFE-029,2026-07,34
CAFE-029,2026-08,27
CAFE-030,2026-04,27
CAFE-030,2026-05,30
CAFE-030,2026-06,29
CAFE-030,2026-07,29
