cafe_account_id,month,bags_ordered
CAFE-001,2026-03,67
CAFE-001,2026-04,61
CAFE-001,2026-05,66
CAFE-001,2026-06,67
CAFE-001,2026-07,57
CAFE-001,2026-08,53
CAFE-002,2026-03,64
CAFE-002,2026-04,68
CAFE-002,2026-05,77
CAFE-002,2026-06,78
CAFE-002,2026-07,60
CAFE-002,2026-08,70
CAFE-003,2026-03,61
CAFE-003,2026-04,58
CAFE-003,2026-05,56
CAFE-003,2026-06,60
CAFE-003,2026-07,71
CAFE-003,2026-08,60
CAFE-004,2026-03,53
CAFE-004,2026-04,56
CAFE-004,2026-05,51
CAFE-004,2026-06,61
CAFE-004,2026-07,60
CAFE-004,2026-08,49
CAFE-005,2026-03,93
CAFE-005,2026-04,87
CAFE-005,2026-05,87
CAFE-005,2026-06,80
CAFE-005,2026-07,96
CAFE-005,2026-08,93
CAFE-006,2026-03,70
CAFE-006,2026-04,76
CAFE-006,2026-05,91
CAFE-006,2026-06,75
CAFE-006,2026-07,72
CAFE-006,2026-08,81
CAFE-007,2026-03,38
CAFE-007,2026-04,30
CAFE-007,2026-05,35
CAFE-007,2026-06,36
CAFE-007,2026-07,30
CAFE-007,2026-08,35
CAFE-008,2026-03,64
CAFE-008,2026-04,70
CAFE-008,2026-05,70
CAFE-008,2026-06,68
CAFE-008,2026-07,59
CAFE-008,2026-08,74
CAFE-009,2026-03,32
CAFE-009,2026-04,31
CAFE-009,2026-05,29
CAFE-009,2026-06,35
CAFE-009,2026-07,36
CAFE-009,2026-08,29
CAFE-010,2026-03,91
CAFE-010,2026-04,84
CAFE-010,2026-05,95
CAFE-010,2026-06,82
CAFE-010,2026-07,96
CAFE-010,2026-08,88
CAFE-011,2026-03,110
CAFE-011,2026-04,86
CAFE-011,2026-05,92
CAFE-011,2026-06,86
CAFE-011,2026-07,109
CAFE-011,2026-08,108
CAFE-012,2026-03,75
CAFE-012,2026-04,85
CAFE-012,2026-05,89
CAFE-012,2026-06,82
CAFE-012,2026-07,82
CAFE-012,2026-08,75
CAFE-013,2026-03,52
CAFE-013,2026-04,66
CAFE-013,2026-05,66
CAFE-013,2026-06,61
CAFE-013,2026-07,56
CAFE-013,2026-08,56
CAFE-014,2026-03,106
CAFE-014,2026-04,111
CAFE-014,2026-05,110
CAFE-014,2026-06,107
CAFE-014,2026-07,103
CAFE-014,2026-08,87
CAFE-015,2026-03,65
CAFE-015,2026-04,81
CAFE-015,2026-05,74
CAFE-015,2026-06,61
CAFE-015,2026-07,63
CAFE-015,2026-08,76
CAFE-016,2026-03,37
CAFE-016,2026-04,39
CAFE-016,2026-05,44
CAFE-016,2026-06,45
CAFE-016,2026-07,45
CAFE-016,2026-08,39
CAFE-017,2026-03,48
CAFE-017,2026-04,41
CAFE-017,2026-05,43
CAFE-017,2026-06,48
CAFE-017,2026-07,47
CAFE-017,2026-08,50
CAFE-018,2026-03,83
CAFE-018,2026-04,81
CAFE-018,2026-05,69
CAFE-018,2026-06,76
CAFE-018,2026-07,73
CAFE-018,2026-08,73
CAFE-019,2026-03,69
CAFE-019,2026-04,58
CAFE-019,2026-05,67
CAFE-019,2026-06,62
CAFE-019,2026-07,65
CAFE-019,2026-08,60
CAFE-020,2026-03,49
CAFE-020,2026-04,48
CAFE-020,2026-05,44
CAFE-020,2026-06,51
CAFE-020,2026-07,45
CAFE-020,2026-08,41
CAFE-021,2026-03,35
CAFE-021,2026-04,31
CAFE-021,2026-05,38
CAFE-021,2026-06,39
CAFE-021,2026-07,38
CAFE-021,2026-08,33
CAFE-022,2026-03,55
CAFE-022,2026-04,72
CAFE-022,2026-05,63
CAFE-022,2026-06,73
CAFE-022,2026-07,73
CAFE-022,2026-08,71
CAFE-023,2026-03,79
CAFE-023,2026-04,81
CAFE-023,2026-05,93
CAFE-023,2026-06,79
CAFE-023,2026-07,76
CAFE-023,2026-08,85
CAFE-024,2026-03,102
CAFE-024,2026-04,95
CAFE-024,2026-05,92
CAFE-024,2026-06,79
CAFE-024,2026-07,93
CAFE-024,2026-08,103
CAFE-025,2026-03,25
CAFE-025,2026-04,28
CAFE-025,2026-05,31
CAFE-025,2026-06,30
CAFE-025,2026-07,30
CAFE-025,2026-08,30
CAFE-026,2026-03,19
CAFE-026,2026-04,19
CAFE-026,2026-05,22
CAFE-026,2026-06,22
CAFE-026,2026-07,22
CAFE-026,2026-08,22
CAFE-027,2026-03,27
CAFE-027,2026-04,27
CAFE-027,2026-05,29
CAFE-027,2026-06,28
CAFE-027,2026-07,29
CAFE-027,2026-08,29
CAFE-028,2026-03,92
CAFE-028,2026-04,78
CAFE-028,2026-05,79
CAFE-028,2026-06,72
CAFE-028,2026-07,84
CAFE-028,2026-08,71
CAFE-029,2026-03,30
CAFE-029,2026-04,30
CAFE-029,2026-05,28
CAFE-029,2026-06,31
CAFE-029,2026-07,26
CAFE-029,2026-08,26
CAFE-030,2026-03,30
